"","ID","tau","lrc","sal","lp","ll","Persec"
"1","54240de1fdf99b691fb383a8",0.49149217079733,0.961341450926148,0.501386407434231,-52.6881705939412,-17.1723211981857,0
"2","54b60d74fdf99b1ce0367ab5",2.02985488081087,0.351974327679864,0.00461141949970078,-61.1506260902196,-24.6353917976868,17
"3","55780ee6fdf99b4cbc0aef95",5.15507810801551,0.0569478051571203,0.671943423042415,-89.5079408955322,-53.9606294300263,20
"4","559cdad9fdf99b66f54b7794",3.0751060990954,0.632070909303168,0.000816484930831002,-73.1856717540501,-36.2385681407149,15
"5","55a77810fdf99b444b9d255c",0.00407141446073249,7.15856336337723e-05,0.344192547086434,-48.1200655662869,-12.5786811583644,1
"6","55b95e2ffdf99b469f622883",2.89080440911301,0.0416174069508876,0.07151592475976,-90.8996659663141,-55.05238278808,0
"7","55d6d91d69dbc30005b66ffe",2.67685802228405,0.0198800209343899,0.730048181074496,-90.8042844430021,-55.2289714271901,1
"8","56051814e372c00011bd556a",0.98466816654624,0.105183448807858,0.0912872811986031,-49.3095299198179,-13.5178885153363,1
"9","560aef7d01c38a00127693d3",1.27534872246802,0.0269268815225284,0.0498979494990945,-79.4362568368526,-43.5047426415478,5
"10","5687d434369319000c269c03",3.05944601549711,0.0656584182001417,0.179845076526649,-78.4768307089106,-42.8290764480275,4
"11","56c81007ba8e37000d7b211e",4.69626205682529,0.372541281160711,0.000779281269857557,-89.7770568436668,-52.8183034360633,1
"12","56f699e876348f000c883bba",0.957737389921676,0.00662121723086689,0.0516809561306309,-96.8137432724122,-60.8905368370999,12
"13","571de7af13b1b70009be2f26",2.50390728899545e-09,3.31315537278843e-16,0.0619092838739043,-73.6288204839326,-37.7480481628165,0
"14","5744bbe15e549100063b08cb",4.23333649573767,0.617558529987898,0.500329896957764,-72.2085311180329,-36.6926835355782,2
"15","57611238eaf3f80007481e8e",3.17956004000386,0.111302108036742,0.0496115113545922,-85.0480091756043,-49.1151310845169,3
"16","5778eeb20e49300001ba9ec0",9.23810736863209,0.144530495152535,0.105232064981766,-92.8624920468656,-57.1025236360917,0
"17","577a6900f8f7ed00014b537b",0.285224572180989,0.00320279583404622,0.775201665175084,-54.5867622391488,-18.9806924461307,0
"18","5784d25070c76a00012427e0",2.12635286572332,0.164821165689345,0.00115170398096384,-74.1528139841693,-37.2916238312269,0
"19","579fb6f46475d400015ab855",2.02099438680585,0.30706746148229,0.000787131867450985,-67.5436992296683,-30.5874497942545,15
"20","57f8a3ece480f5000136f588",3.66165094007234,0.119365794563686,0.151444179709245,-69.4198135774927,-33.7376002986155,0
"21","5808ec7ff0740c0001789a1b",0.208433201535374,0.00448153286199399,0.413821210007346,-62.2991267530519,-26.7757399467384,0
"22","584726b8f063d30001161e6a",4.45266422468732,0.0294955569187204,0.320966726675466,-93.4265424067571,-57.876392782004,1
"23","58513454b9f14b000151795f",2.18559651132933,0.0610583633711642,0.169654523683968,-79.8568870332691,-44.1976370120335,7
"24","5870336cdb3e720001e230cd",3.01789510152481,0.206998492548321,0.0225591837437492,-74.1691216899774,-38.0462401642439,0
