"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.382085115876346,0.173478918089864,0.720281957588064,0.481330338820689,2.66385056418059,5.10793982441405,1.32989341717755,0.916908676069923,0.369415557319688,0.048225248108204,NA,NA,-66.5519341080144
"ID1","54b60d74fdf99b1ce0367ab5",0.418932244181086,0.151305614082548,0.67656165353342,1.34005338647266,1.51776011538367,-1.65429535148432,2.47806831138398,1.47606995555606,0.594591694628065,0.620920901685278,NA,NA,-38.3540047174342
"ID2","55780ee6fdf99b4cbc0aef95",0.444509279138211,0.963197284359303,0.976321406851873,0.183315209661174,1.14148836842857,-1.91263376838322,1.44162631784916,1.13995774733519,0.9907340926792,0.24959859858887,NA,NA,-26.8475728087908
"ID3","559cdad9fdf99b66f54b7794",0.109824375340257,6.52678889091674,0.952819193573496,2.42898043431555,1.92825177177426,-2.35558308449932,0.18282108463711,0.501778221546984,0.213801399540537,0.261921933455159,NA,NA,-63.7330135591739
"ID4","55a77810fdf99b444b9d255c",0.434808259316211,3.67734005059099,0.419110579167004,3.65856455724438,0.0825641438850923,-2.74077238777255,1.01372750731755,0.688777212175861,0.980920211378468,0.457332301618888,NA,NA,-41.250882244362
"ID5","55b95e2ffdf99b469f622883",0.49413363955219,0.221065330451564,0.663035489576296,3.14628531246077,1.42323159116331,-4.20614537936938,0.818382019694795,0.859060181127846,0.604260019946784,0.111869892910528,NA,NA,-46.8813148941666
"ID6","55d6d91d69dbc30005b66ffe",0.0509381493828738,0.0744331965825056,0.387858932266487,2.01004044236039,2.28888694325478,1.70642858913571,0.727761259828955,2.10956647834693,0.209599306732673,0.374003129017711,NA,NA,-37.7398969601972
"ID7","56051814e372c00011bd556a",0.259721767851664,2.62847283070461,0.73280557926847,0.422896316537893,0.499527451658593,-3.23037824011195,0.259812195535451,0.227713185393376,0.470504763479084,0.726545022195054,NA,NA,-50.7879278726048
"ID8","560aef7d01c38a00127693d3",0.531568600746223,0.0967651231548415,0.897004581082466,1.7457376534416,0.077712096158225,0.77147505533399,2.56496705120119,0.365102437590427,0.327811166772933,0.948741784967278,NA,NA,-0.403348689835162
"ID9","5687d434369319000c269c03",0.243750267078918,0.274914535896797,0.615373383448023,0.267259734340077,0.747245172174765,-2.00321568238286,0.676839443685276,0.306851195363711,0.958143291393179,0.34805388796581,NA,NA,-45.7719104854447
"ID10","56c81007ba8e37000d7b211e",0.166702998005584,3.26346900528634,0.773475931456228,1.96860752951283,0.074745664073314,-0.869412001311858,0.0953635549973143,0.0330448431029301,0.434999304999404,0.795273079578532,NA,NA,-25.4035327608383
"ID11","56f699e876348f000c883bba",0.795178519412873,1.28668921721899,0.93772971070046,2.38618761228287,1.23454749504602,-2.19861885924634,1.72569996333615,3.96254675615614,0.897162019974304,0.956517555191389,NA,NA,-46.1891333724466
"ID12","571de7af13b1b70009be2f26",0.455671311626764,0.162381659768036,0.974375800387586,1.96435957423171,2.6761058326736,-0.272425109241127,0.507044591547027,0.80883774829936,0.565229297313033,0.450402972533212,NA,NA,-56.4691940942615
"ID13","5744bbe15e549100063b08cb",0.170638113620023,2.9369596291258,0.14504712725623,3.01200400029794,0.163401695982887,-1.92569888516502,0.259563621436345,0.220570431817599,0.498556075490633,0.359303103445071,NA,NA,-51.7992978019652
"ID14","57611238eaf3f80007481e8e",0.477747615701984,2.71330267204438,0.607062954200483,2.6676453022956,0.156278066098556,-2.64878476971446,0.0334932149172396,0.0386922189993367,0.440539010522244,0.283483824689505,NA,NA,-50.4661277485184
"ID15","5778eeb20e49300001ba9ec0",0.908988700967147,1.30781191483158,0.989717066321513,0.976564625549176,4.28821331849179,0.822910238216243,3.88480901990979,0.329342021707729,0.301091334128831,0.0223862902193697,NA,NA,-65.513752826058
"ID16","577a6900f8f7ed00014b537b",0.996395953577842,3.3081308626175,0.957449101980588,0.0434827109403625,2.32891612798796,0.781372416937226,0.803456293694044,0.322687324660279,0.331251118726724,0.137979552498357,NA,NA,-40.5249990785298
"ID17","5784d25070c76a00012427e0",0.011178719243205,2.17319963774756,0.271327900850365,2.28186156160549,0.0847952235226422,1.30946634912524,0.167807107540662,0.548704560207608,0.919173477199391,0.929035013720031,NA,NA,-13.3667527994302
"ID18","579fb6f46475d400015ab855",0.983935448456422,0.583913835123616,0.999983026913437,1.8933734998998,1.36189232668121,-1.94328192747719,0.816972414894191,1.42362757888461,0.966270088278204,0.329368049627486,NA,NA,-53.8515260040928
"ID19","57f8a3ece480f5000136f588",0.227838956031627,4.98350120608837,0.993434152145885,2.25420336346756,1.042024035395,2.77370744963336,0.762089203269056,0.662741244503905,0.861216905500971,0.108219956294332,NA,NA,-42.6104853887898
"ID20","5808ec7ff0740c0001789a1b",0.505214854810048,2.47715071234507,0.524255903301965,1.41278544127688,0.776502037805544,-1.72245673422939,0.178214261105622,0.523090156749428,0.130893258703766,0.606014581830148,NA,NA,-72.1149603453849
"ID21","584726b8f063d30001161e6a",0.197935137125438,0.406578214861266,0.937619029386725,3.39325663021318,1.21995401125909,4.03020292948513,0.242753846512643,0.789697568584523,0.414880365510737,0.154862919594898,NA,NA,-55.8678128645625
"ID22","58513454b9f14b000151795f",0.324009739710049,2.21974594315316,0.918231420373738,1.65012537532352,0.509897672424994,2.29192869198418,0.168692804780974,0.406355736294591,0.285245627071502,0.125826250502194,NA,NA,-47.008047065409
"ID23","5870336cdb3e720001e230cd",0.549565467811565,0.839801754520403,0.989049374286097,1.46025264166036,2.31034747788074,-0.216281291039814,1.46918097490592,1.53332660496573,0.36307827553572,0.474180593819376,NA,NA,-61.3722605816683
"ID24","587291591c35f20001955c45",0.0566889799686561,0.0260466798025676,0.00259655048739262,3.70896126419055,3.23464275516145,1.65370993217813,0.350506696646127,0.0951514886174319,0.395271083798442,0.396528773355954,NA,NA,-27.0478510991808
"ID25","587388b9db3e720001e2320e",0.987627934658673,2.01977326524487,0.951013559084238,0.00828142202378678,1.73863285972935,0.751442834775717,0.151926519921629,0.265452158469093,0.0165120577211565,0.133870565671666,NA,NA,-32.1429632440995
"ID26","587620554254cb0001c15a23",0.0423383781890306,4.73007698764629,0.611637459828474,0.771285102212513,0.25463650082681,-2.55388665265209,0.511050636726322,0.402917272835322,0.32822223607813,0.406230690481608,NA,NA,-40.3819529951116
"ID27","5883d68d300c0b000113db56",0.0413433282262559,3.52395021721354,0.77192101327572,0.447431952963196,1.36954868494493,-9.5539981801144,0.581287332231193,0.616511473106381,0.608124879781222,0.654643311179,NA,NA,-54.4251878722134
"ID28","58c3c197da66280001b3c6e8",0.489285269133067,0.301896596487159,0.944237928926162,1.51908411297803,4.03383704669635,0.243878718447381,1.39596645488733,0.0865266377332072,0.23923396059389,0.325354507162418,NA,NA,-72.4972821914062
"ID29","58cef97d5e07b6000139fa16",0.612283452710024,0.677107943282747,0.85094050063016,3.3975500227256,0.334308184309063,-2.73122272639649,0.846157072120866,7.06655428255137,0.853629016240302,0.134150333571611,NA,NA,-29.9790919030154
"ID30","58f364d67b2e410001c2ed1d",0.236231743528603,0.0540919710107051,0.822183599331275,1.96747891561056,2.03705378787134,-2.77346885071834,1.17447598008183,0.469834877579829,0.840087504676654,0.0796657237560514,NA,NA,-37.2806803640423
"ID31","58f89d1cedf274000143eb4e",0.066717225987898,4.46706781438111,0.124415012464122,3.58810812866933,2.45024081994545,-5.99759732750283,0.67933481873858,0.778641910322147,0.492187516626218,0.814395782722346,NA,NA,-58.1690950914733
"ID32","58fa6e1bd0055c0001dd838a",0.310379170128809,0.288313903599993,0.690755928763304,0.18125610913388,2.24790368356855,-4.05592249739032,0.472385619003517,0.858618617810264,0.251144745492446,0.171975725375411,NA,NA,-54.2871655784957
"ID33","590f202eea0e130001039e1f",0.714728250299668,0.54584559624558,0.997112259160922,3.4221126625474,1.10541224062915,2.83847727399996,0.320695568798927,0.514618526149065,0.0588264783857884,0.247503726268448,NA,NA,-55.4076148724636
"ID34","593ead9ea514380001e5cf86",0.668978209929216,5.82295374847434,0.664272593924284,2.7651931237788,1.46051397695734,-10.0707458848102,0.624642150351539,0.435196888143676,0.082318717484439,0.0338063503545283,NA,NA,-55.6059058791447
"ID35","595339f4ad2ce90001b88266",0.2376152334878,0.0621912765614814,0.493926458304958,0.517920925766816,4.38668150207168,-1.13130925741912,1.63003873690635,6.6607350473961,0.97877195628138,0.150336508978604,NA,NA,-48.2582647079088
"ID36","5953d37b3d663c00011d233c",0.963161571969294,2.57314207981397,0.995883610926949,1.2624918667884,1.01785352929004,-0.263891112535996,8.10162143973491,2.62423432103544,0.581438920842783,0.279890291331576,NA,NA,-53.8552731886967
"ID37","598ab1ed19432500016fafa1",0.356045901590171,0.333647340565689,0.280349608173157,0.0915853419597142,0.48148810717385,1.86819798030736,0.348219037549313,0.14514183836832,0.45411621004928,0.974717014351928,NA,NA,-79.7484828892361
"ID38","5991c4a8e339120001fb8c7e",0.537844557921103,1.55472069463308,0.530856018837927,1.37759111821383,0.0590932693278192,-2.15849585897227,0.246405444373117,0.250641911630703,0.66564154890933,0.824767051856326,NA,NA,-13.4170891056688
"ID39","5995ed90d1732a00013425c5",0.616023547921391,0.0347134029819805,0.880153064505373,0.848728386746417,8.8139857028123,-3.65311398069688,2.83437515727428,0.374019253972467,0.0323282792646005,0.662119933646164,NA,NA,-55.9840099827541
"ID40","599614af004c4f0001cc8642",0.843846847471012,0.112648032333701,0.742004944391753,0.109963453802072,3.95822655324393,0.809574422857333,2.54053152503557,5.8032151738355,0.462209256078068,0.380834253474888,NA,NA,-59.0871135629812
"ID41","59c80c180aaf750001213cbf",0.922023413872727,2.39316410289747,0.99984191701746,1.00095879438315,1.95299543601962,1.7438125200471,0.098236358741994,0.321679617722947,0.0967423957889609,0.239254502409389,NA,NA,-48.665662670997
"ID42","59d38d62323bd80001e200bc",0.0101160081691753,1.28840236410613,0.942893449974272,2.69038047429989,0.750958444021184,3.92120783437367,0.516591051646285,0.134456150481929,0.836886742385199,0.675391116797256,NA,NA,-34.9176875921199
"ID43","59d4b084115096000190dbce",0.486428258651578,5.35830096487776,0.537221307330086,4.86868377528138,0.709727391817714,-5.30885059796846,0.675154972692089,0.391852462186504,0.0283514291015005,0.0138265151132357,NA,NA,-59.7984815580985
"ID44","59e5fd82e75b450001a691ec",0.0581968588726759,4.70137166215307,0.737016264648325,1.1271406816558,0.176972753025855,1.11752764065177,0.716708222488609,0.560648109025168,0.331291072139857,0.0309049049069578,NA,NA,-21.1990754241
"ID45","59e8cb08bab73300016bd7f7",0.624788883959521,2.69532765141419,0.999888998043427,2.11251658478162,3.72370189339587,1.51324333433063,0.102263714496196,0.366557976443163,0.6510502280167,0.584736520655416,NA,NA,-57.5037480951066
"ID46","59e9d2c6c0d35a0001295448",0.555620963937418,0.551444099441194,0.674198117695236,0.668066486791799,0.410213964501132,1.06283711846818,0.162588029277697,0.40440671920207,0.972751971192363,0.060635200263113,NA,NA,-40.0566124390722
"ID47","5a3996f6ae52e600010a0192",0.999556085934049,2.30262496490003,0.983846222861569,3.69717593496747,0.804584263957312,-0.458548395038348,0.134628249270721,0.279320258991896,0.332941933622407,0.273316598565876,NA,NA,-70.6974151222583
"ID48","5a3a570307245d0001fc0692",0.268915157710121,0.566110201454689,0.814135085810078,1.48799070502638,0.336704928349416,6.7353537845248,0.354390567176614,2.63566066557935,0.187909281728783,0.972996541699056,NA,NA,-36.8985255054499
"ID49","5a3c0b842f91ec0001dc9bb4",0.773576218686056,0.607801109447612,0.744093951032789,0.748396025185063,1.05008533509116,2.92073437681832,1.07502066766068,1.57439197003871,0.765976130556475,0.536795114034,NA,NA,-49.8390843454165
"ID50","5a4e26a8f4c9dc0001b7a1b5",0.694203365370678,1.20673988143531,0.763093347050988,0.00886301820186397,4.31231544053353,-2.59179339873844,0.931944154739685,0.0558823582397292,0.62459929721478,0.125742985004594,NA,NA,-54.292820217613
"ID51","5a5a3ec6ac5624000153e0f7",0.998663252416529,4.66770313931754,0.982635489291909,0.161722610641279,1.40637191070631,1.9798567446778,0.911496339158773,0.671250026703305,0.465228518792525,0.112672341115886,NA,NA,-31.3023185239797
"ID52","5a5d1194acc75b00017a7b8f",0.772816609696214,2.34655117209159,0.462942608304483,0.0996999100195325,0.922583198190023,-0.848797249669553,2.66011110200715,3.1689000616855,0.977777077813784,0.532359993211706,NA,NA,-29.6399684643477
"ID53","5a69d77a56585a0001633482",0.962835460672501,1.99726895495652,0.999673611556011,14.851263826426,3.29899127699913,21.7268070495251,0.54211803142533,1.41462310023819,0.634426008853582,0.92382308688187,NA,NA,-70.9262900226956
"ID54","5a6f7604ff6f2300013edcd8",0.728581630413152,0.181983658464197,0.991420384596643,1.96948950892316,1.04916679553841,-1.15689483315215,0.248906493408835,0.233664682636895,0.0393822296825239,0.348754788428956,NA,NA,-41.006235932079
"ID55","5a8b513317ef35000170b86f",0.980852861026209,1.35764343889596,0.825940413224685,3.10229181763419,0.641744104220423,-2.99625871518874,0.469980960646109,0.0693972840250004,0.621986403939013,0.985305884297407,NA,NA,-35.782939830203
"ID56","5a8c78b0ae9a0b0001aa27fd",0.241899557234182,1.19910971729381,0.103727593612681,4.74226086534091,9.9610105499081,-1.41472655948196,2.90151067395619,3.25721533251896,0.482902224808089,0.93973688149503,NA,NA,-78.4920358319545
"ID57","5a90460d1eda41000135f918",0.615794113989278,1.02882107422319,0.836090229023616,3.18037150810161,0.495676689783822,3.89368566360996,0.203225232316263,0.61130361926878,0.306666850459329,0.601247802826224,NA,NA,-56.6769774388814
"ID58","5a94a3344eecca0001dd3c52",0.968787018978442,3.19729785953967,0.988408735156628,0.0425182793758351,2.5943172293966,-1.31907592880029,2.2398050843204,0.543390709414049,0.0435849410826144,0.820841611598651,NA,NA,-45.9695254862109
"ID59","5a9d68a3dbdb470001eefb79",0.971431890325623,2.9869926192524,0.886887310563485,3.4950458939644,0.238895393099918,-6.26464855337046,0.974726142014473,0.400682159399114,0.678950901794201,0.738584717153149,NA,NA,-0.515694020113687
"ID60","5aa696af6219a30001c75d2a",0.152830933468065,2.13657275950351,0.0496437028459963,2.22895013921167,0.956352216375774,0.308664188566426,1.32842225061293,0.347417520130921,0.495602487767032,0.517226375332456,NA,NA,-69.1150732526438
"ID61","5aa9528235237b0001132675",0.558829212817957,1.00215410195537,0.474589599596051,2.0619088041001,0.386854921643803,0.856979220984379,0.0894054014874216,0.247079875647356,0.632853144390457,0.563871496372042,NA,NA,-59.7734721253535
"ID62","5ab3bc131204f90001c965bd",0.0836586337780085,0.145349634405118,0.000959809091713993,4.48238409153094,1.06344773778859,0.975599214443376,0.536388938253883,0.894297257788675,0.722260295262288,0.633382454788436,NA,NA,-35.9243346346221
"ID63","5ab4e55cf69e940001d8d3bf",0.629293967419406,2.32826926345093,0.270085227409408,2.88976694344799,1.21434100816855,4.66755807488835,0.235106394094276,0.415619868368291,0.913881200528306,0.00460044537348073,NA,NA,-61.8070044959227
