"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID","54240de1fdf99b691fb383a8",0.395017823436415,0.182054168735352,0.741029887157012,0.291303000699827,1.58614578560418,5.33786413853382,0.863343522317509,1.66890145626979,0.0185571257257239,NA,NA,NA,-59.2253633060212,0,3,"Fair"
"ID1","54b60d74fdf99b1ce0367ab5",0.403060672726765,0.726686240806925,0.487704144086,2.3851693526598,0.340731403782112,-1.61340725114008,0.391058574169599,1.0038576742803,0.945457607641255,NA,NA,NA,-33.5367501816579,17,3,"Fair"
"ID2","55780ee6fdf99b4cbc0aef95",0.360978267126087,0.953674356114821,0.997999545077606,2.6205465617427,0.565471239616426,1.29625032423749,0.742537267095725,0.352908065064295,0.95964048448149,NA,NA,NA,-24.4555779571431,20,3,"Unfair"
"ID3","559cdad9fdf99b66f54b7794",0.00391366533359293,5.89516033750706,0.808948015447379,2.12188322314067,1.79324347422622,-8.21410549429037,0.687053094031735,0.929590488698825,0.00250220094126807,NA,NA,NA,-57.7527050157367,15,7,"Unfair"
"ID4","55a77810fdf99b444b9d255c",0.553189957889105,1.54600424569905,0.535171711705707,3.73857453472346,0.123064883771827,-2.20628048986746,0.849278654673052,0.584966857560431,0.00214066480076249,NA,NA,NA,-47.0702255132358,1,3,"Fair"
"ID5","55b95e2ffdf99b469f622883",0.562984273539041,0.207164107929426,0.637139950171196,2.18970513762791,1.65375255982303,-5.18763959541538,0.293089651004773,1.54339072985201,0.313269298460953,NA,NA,NA,-47.1442120024315,0,5,"Unfair"
"ID6","55d6d91d69dbc30005b66ffe",0.0126193401453134,0.187676102011432,0.443367346785718,1.07376458757501,2.58977936047757,0.147787189596393,1.93691474717309,0.906685673923941,0.132321997729158,NA,NA,NA,-36.8703143447558,1,6,"Fair"
"ID7","56051814e372c00011bd556a",0.146343030354171,0.575232918897975,0.728401622858268,0.0889734143541909,2.15059341599882,-7.90290981967081,1.10549098603087,0.988906025580656,0.954331715804533,NA,NA,NA,-48.4158008004974,1,4,"Fair"
"ID8","560aef7d01c38a00127693d3",0.511751475217235,0.0440055116646868,0.504995175866473,0.0558774306828412,0.431042486935342,0.136477797113382,1.33803009858865,1.92867755699202,0.860776883841819,NA,NA,NA,-0.41673650427389,5,1,"Unfair"
"ID9","5687d434369319000c269c03",0.255257939546646,1.93518209097143,0.578054392510916,1.18364360967488,0.100392790827462,-2.26504623152606,0.0474710363350422,0.173528366638985,0.287379887902597,NA,NA,NA,-41.9721298765285,4,4,"Unfair"
"ID10","56c81007ba8e37000d7b211e",0.241819677643735,1.10459870851112,0.842938710745841,1.27004056861922,0.116742874419294,3.55298649642581,0.0471855890497785,0.0037249988760516,0.716796358202154,NA,NA,NA,-20.9047198275234,1,6,"Unfair"
"ID11","56f699e876348f000c883bba",0.723521322154126,1.31549259874397,0.999982877379796,5.25860720640252,1.55234796399332,-1.47783523191887,1.64154395933933,3.80856538687408,2.41809518992908e-05,NA,NA,NA,-98.7637869774411,12,5,"Unfair"
"ID12","571de7af13b1b70009be2f26",0.311560517144844,1.06483295497235,0.955168049953885,5.13514825855096,1.56919690849412,-0.258764326346838,1.45438514119801,0.566554362317075,0.467191546416897,NA,NA,NA,-60.9122443293086,0,4,"Fair"
"ID13","5744bbe15e549100063b08cb",0.148320664069086,3.00019365385246,0.134847355125487,6.15331766025351,0.113124776264839,-2.11143176477587,0.244749355232229,0.125840807736153,0.288057445380469,NA,NA,NA,-50.942819630308,2,3,"Fair"
"ID14","57611238eaf3f80007481e8e",0.486029050105617,0.341910106019073,0.602934759477943,0.264018770886175,1.19770473849466,-4.59084504477976,0.271756487786985,0.338857479294834,0.940277446176689,NA,NA,NA,-49.7877173966326,3,2,"Fair"
"ID15","5778eeb20e49300001ba9ec0",0.371352141236506,0.447024462453847,0.43982073320272,0.730932382377406,3.79303624069773,-14.4915855461228,1.32669930450903,1.00068743683732,0.000168217456421061,NA,NA,NA,-63.7593798973179,0,4,"Unfair"
"ID16","577a6900f8f7ed00014b537b",0.00255759296313863,0.644671916240011,0.638323487461144,2.66484721637834,0.349529904627772,0.0489814075563346,3.34517748463626,2.84264010763022,0.702542995877114,NA,NA,NA,-83.5124715718035,0,4,"Fair"
"ID17","5784d25070c76a00012427e0",0.0559018314518834,0.194323528287889,0.202666100753201,0.663622110090956,0.103791206579064,-0.698563463228502,0.695346382557679,0.282823850465686,0.460218487714774,NA,NA,NA,-9.86318859304395,0,9,"Fair"
"ID18","579fb6f46475d400015ab855",0.572623014580794,3.65155589927837,0.961493781036451,1.58785857405636,0.800716324766886,-4.4437231215943,0.592530113087464,0.525965410006266,0.465934075905211,NA,NA,NA,-38.3260839783664,15,5,"Unfair"
"ID19","57f8a3ece480f5000136f588",0.000747010492088409,1.74599554152679,0.982930360294513,1.47668626270376,2.21671175270591,0.300713241370714,0.0998798730832452,0.981367131340146,0.044802764011741,NA,NA,NA,-46.0884841082706,0,5,"Fair"
"ID20","5808ec7ff0740c0001789a1b",0.477583276348037,1.63699849939847,0.560205261979197,0.25014063075146,0.835723989567435,-3.51241875095412,0.248161674424989,0.953882635406172,0.411409901695859,NA,NA,NA,-65.3056427976542,0,8,"Unfair"
"ID21","584726b8f063d30001161e6a",0.259515848349805,0.778726089493716,0.977149318603867,3.16922205442637,0.656351790153556,4.12988130432208,0.808934384325678,0.51558203734655,0.177986665526878,NA,NA,NA,-46.8835346364496,1,8,"Fair"
"ID22","58513454b9f14b000151795f",0.148528237823312,2.39161868343166,0.846150129014294,7.28959491559964,0.0831556077053954,0.593472934502661,0.521017385000491,0.13350478847293,0.229031058677795,NA,NA,NA,-43.6038365662354,7,4,"Fair"
"ID23","5870336cdb3e720001e230cd",0.810856369626472,2.49472205700688,0.905848882783258,1.34007795708579,1.24434648752746,2.83290496459677,1.40107356406548,0.283073233544629,0.178959060638025,NA,NA,NA,-59.2318927390962,0,6,"Unfair"
"ID24","587291591c35f20001955c45",0.0156799578986784,0.195593801417146,0.0460393346978071,0.886132278333606,1.56565279381075,0.182598045007933,0.164670462718824,0.413090688115692,0.820944033030802,NA,NA,NA,-24.3085356735424,0,5,"Fair"
"ID25","587388b9db3e720001e2320e",0.888511384388079,1.26756194260007,0.99999999994015,3.45526382718347,1.46871682636832,-2.26243936709325,0.349075892849149,0.252080880559184,0.00590313657791537,NA,NA,NA,-35.8031648808585,6,5,"Fair"
"ID26","587620554254cb0001c15a23",0.0954700812620175,3.02453322335852,0.652049248641567,0.83810044270892,0.22785647934116,-2.80390170335124,0.311885163244725,0.260050472253999,0.932801964706499,NA,NA,NA,-40.5847490859433,5,2,"Fair"
"ID27","5883d68d300c0b000113db56",0.0906168918854956,2.52519218482575,0.77667928118085,0.534663010069266,1.28251319832911,-8.7588186676259,0.636309552574334,0.562907083696904,0.0540236067161721,NA,NA,NA,-53.4411961068277,0,1,"Fair"
"ID28","58c3c197da66280001b3c6e8",0.709469774291699,0.90187795265257,0.825058253252206,1.18792378448726,0.259252455205735,2.91565790956632,0.455811288225911,0.34875318001547,0.0226445715125608,NA,NA,NA,-59.3729542211995,0,4,"Unfair"
"ID29","58cef97d5e07b6000139fa16",0.492081596240358,0.0192899456875727,0.995990333703482,4.384520574117,1.30901519331223,-1.60923926983801,1.81616233888573,0.984206602151582,0.998639820667907,NA,NA,NA,-28.1365574598555,3,9,"Unfair"
"ID30","58f364d67b2e410001c2ed1d",0.238046678453143,0.0527496860902626,0.979086247594997,3.37071032598472,1.70305968644233,2.72399578810608,3.57459115783352,1.90089122170385,0.841244718457964,NA,NA,NA,-31.5883224544984,0,8,"Fair"
"ID31","58f89d1cedf274000143eb4e",0.33187749485426,2.15758670551503,0.339790809188585,6.75597083694351,0.219534905985717,-3.50365041708905,0.414324880567599,0.157932829939052,0.439696427618196,NA,NA,NA,-46.5116145374318,3,6,"Fair"
"ID32","58fa6e1bd0055c0001dd838a",0.29653597306153,0.697624836397799,0.673966532912569,0.449608688034213,0.665034041498376,-3.29056898297866,0.340003133730697,0.201953202998723,0.701825332037705,NA,NA,NA,-54.2424201899141,0,4,"Fair"
"ID33","590f202eea0e130001039e1f",0.727282628943303,0.682312410819722,0.9732839121353,1.20756121307149,0.421223547059819,6.15598519571607,0.254380309458545,0.415315529602003,0.675102143760838,NA,NA,NA,-49.9507983323438,6,3,"Unfair"
"ID34","593ead9ea514380001e5cf86",0.498674940004768,2.90087973166422,0.614161685225661,2.09599555805295,0.734904780660266,-6.73216326014456,0.454408367098915,0.377370281752276,0.0110104426991726,NA,NA,NA,-52.3765284781768,2,4,"Unfair"
