"","ID","tau","lrc","res","sal","mem","zet","lp","ll","Persec"
"281","5e13a1381e2e589db94cd20b",1.9329175540369,0.229565608951346,0.970981664444249,0.0824647375072949,0.528462553747788,NA,-27.8873494360131,-26.5655303440158,0
"282","5e14c7c3cbfadc000d032ddf",5.65124334822667,0.0843263932960553,0.489810048306098,0.934043308685749,0.835147925697589,NA,-61.0984379097869,-57.6758995646438,19
"283","5e15da8a805a30bcd2ed796d",0.142166955754309,0.00389232198706448,0.980858574365525,0.230554842553835,0.414456922325436,NA,-34.439056087144,-32.2233633649981,0
"284","5e185c397eeb87000d989683",0.139585844240347,0.00553405137000908,0.99473639603241,0.821763482051256,0.774780283058155,NA,-13.4887400863309,-11.2372849211117,1
"285","5e18c4dd21c2a7000c60f8cf",4.35917241133981,0.436405844759075,0.0371813418393655,0.619772169946693,0.944432279503128,NA,-47.772314171687,-45.2383996023247,7
"286","5e18ca0eba65e719f09679ba",4.39094312025053,0.12588752540973,0.877467568979189,0.652611833124279,0.550901612836981,NA,-54.1172505682264,-51.8578434711597,3
"287","5e1ceadb86880807648d5ec0",1.73898578903723,0.0289146351400976,0.387558225276013,0.847751547541656,0.785504373498778,NA,-55.7294731041237,-54.1119243646607,1
"288","5e21d5235f39764b9b58af17",2.3410789279262,0.367482328005347,0.916874792391076,0.00246742985096997,0.996281130664851,NA,-37.0602295265659,-34.3135436654425,0
"289","5e222f8048ea75061f1eb5c7",2.63817662616825,0.615112266429583,0.0239351977904433,0.000743207921449059,0.997844401088637,NA,-26.8798595124634,-23.0326654018063,2
"290","5e26e486fcf95e90fcc7c175",1.48636135731764,0.0187407806749092,0.793103409378024,0.445672112898237,0.985297071566247,NA,-47.0323056134413,-45.2015560047216,23
"291","5e2c2d3a8800e72590334bdb",3.41181364984582,0.249020002524793,0.118029271133675,0.569413271126788,0.774906317703367,NA,-40.9006809067465,-39.2583222089282,11
"292","5e2c96a6ec357b2b16b15d31",1.6189058664665,0.0434191196497299,0.846498023418195,0.0991226636711087,0.857953715060426,NA,-47.2516502362393,-45.6819022184745,0
"293","5e3012c68dc3120111433304",0.0620936721261485,0.0255010886849496,0.372329573475644,0.24813183047238,0.503579532828868,NA,-2.89155574757676,-1.80391233105846,0
"294","5e30492697a58001749fce6b",1.66945232435988,0.221831171962401,0.217790860914804,0.000700414778850322,0.958029904021557,NA,-36.4727224009391,-34.0911492969193,0
"295","5e317e93287816155e5ac60d",0.682555784435087,0.00847274982419917,0.654130186032092,0.808999793082214,0.790066753383932,NA,-46.3403191465555,-44.5915388559709,0
"296","5e32c95c87b8ef28e5aff6ea",1.0295579125207,0.0109513833133598,0.43928192999535,0.735318008370333,0.983625704143442,NA,-46.0238029726773,-44.1105335904652,29
"297","5e32d8909af66c000b4d8a82",1.0641824287433,0.030284750560055,0.170119062540958,0.244449388929019,0.995446042584686,NA,-24.1170846645198,-22.4741298788194,0
