"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll","Persec","ICARTot","Order"
"ID","54240de1fdf99b691fb383a8",0.314414001616366,0.0967596336890523,0.444993950120634,0.238045955181228,7.62486522600129,0.754359895509724,0.988818750005368,NA,NA,NA,NA,NA,-70.5984326575955,0,3,"Fair"
"ID1","54b60d74fdf99b1ce0367ab5",0.387745163461357,0.168121733515352,0.541263985121108,0.232361420110086,1.33581869691458,0.0608114285861363,0.879309997497911,NA,NA,NA,NA,NA,-42.4424577769825,17,3,"Fair"
"ID2","55780ee6fdf99b4cbc0aef95",0.311487103883189,0.296094954616141,0.993992295057387,0.251586790011007,2.36753220691443,0.74759429953519,0.93246789763663,NA,NA,NA,NA,NA,-33.0345796335742,20,3,"Unfair"
"ID3","559cdad9fdf99b66f54b7794",0.999851428225935,3.62006244272797,0.999790380287885,1.06566430151949,6.63363619703363,0.23607759539261,0.631731215727813,NA,NA,NA,NA,NA,-70.2684921120285,15,7,"Unfair"
"ID4","55a77810fdf99b444b9d255c",0.552705381175074,3.14232046836968,0.576507601380421,4.41942215726211,0.0404575769711631,0.605424888996553,0.714933974237178,NA,NA,NA,NA,NA,-37.5861085846754,1,3,"Fair"
"ID5","55b95e2ffdf99b469f622883",0.586600815019469,0.120351002537493,0.999062203872703,2.47691540268775,2.99029378757951,0.87571925890481,0.0267809731861804,NA,NA,NA,NA,NA,-50.6830076934448,0,5,"Unfair"
"ID6","55d6d91d69dbc30005b66ffe",0.000226486772421472,0.77000084969085,0.617772895069753,2.16580707371269,4.39742262832055,0.740581359471545,0.0130163482288346,NA,NA,NA,NA,NA,-44.8565777807172,1,6,"Fair"
"ID7","56051814e372c00011bd556a",0.769710461062714,3.74497741914555,0.799262601610885,0.154195964184878,2.44282638839458,0.0163809511702285,0.0287658529144092,NA,NA,NA,NA,NA,-59.7409443755108,1,4,"Fair"
"ID8","560aef7d01c38a00127693d3",0.478690507570074,0.056683604497497,0.468975378080789,0.0613797476577898,0.284282271476619,0.458118605336929,0.545723855030898,NA,NA,NA,NA,NA,-0.420207292891765,5,1,"Unfair"
"ID9","5687d434369319000c269c03",0.230951498990241,0.318757547186462,0.605228392318236,0.168534323435738,0.382581310593003,0.850406599515598,0.0477256832388788,NA,NA,NA,NA,NA,-41.9408400104359,4,4,"Unfair"
"ID10","56c81007ba8e37000d7b211e",0.210069008374661,0.0373722647629134,0.824113837230689,0.0594681713965715,3.21056287862559,0.248839625492175,0.999980682643711,NA,NA,NA,NA,NA,-22.0317994417982,1,6,"Unfair"
"ID11","56f699e876348f000c883bba",0.451762886275367,0.0086585059065459,0.97810312937486,1.67705571436427,5.94269847284093,0.337189696452285,0.105435884982392,NA,NA,NA,NA,NA,-49.5519741514739,12,5,"Unfair"
"ID12","571de7af13b1b70009be2f26",0.428924567808902,0.121690672574424,0.976257144482517,2.26636536078029,3.3391274918305,0.330149465574136,0.211083989353002,NA,NA,NA,NA,NA,-56.36452000646,0,4,"Fair"
"ID13","5744bbe15e549100063b08cb",0.0621029431959123,1.43017701610542,0.0304161391138169,1.87038657285503,1.98979072744186,0.88127299861288,0.907913926037085,NA,NA,NA,NA,NA,-69.2766961024528,2,3,"Fair"
"ID14","57611238eaf3f80007481e8e",0.527897732192974,0.119061380293666,0.639637106209855,0.0580646205175981,2.81611176216822,0.62527692116695,0.759442130580741,NA,NA,NA,NA,NA,-53.6195650088184,3,2,"Fair"
"ID15","5778eeb20e49300001ba9ec0",0.99989428559702,3.24130472969636,0.999987288433778,4.0896055177669,7.85122242467355,0.184995897346659,0.1918887513899,NA,NA,NA,NA,NA,-80.9188530236271,0,4,"Unfair"
"ID16","577a6900f8f7ed00014b537b",0.159759640431471,1.71468587841595,0.994564290081202,0.269996834577259,0.304664151059798,0.787355890264309,0.463983269348443,NA,NA,NA,NA,NA,-83.486236837975,0,4,"Fair"
"ID17","5784d25070c76a00012427e0",0.000308380500697955,0.723250040131984,0.1978560238417,0.222908636754348,1.70878347591113,0.796154366295954,3.44544222688608e-05,NA,NA,NA,NA,NA,-21.2614936735628,0,9,"Fair"
"ID18","579fb6f46475d400015ab855",0.999969106072501,2.28377656926342,0.999999999999381,1.34498338222082,3.0655245696116,0.777259918417005,0.882072548262267,NA,NA,NA,NA,NA,-58.8403205385673,15,5,"Unfair"
"ID19","57f8a3ece480f5000136f588",0.000414069347689687,0.583075808184391,0.780148224689258,1.65057939008066,6.63645447373713,0.398996728465193,0.0358352729442474,NA,NA,NA,NA,NA,-50.397741920526,0,5,"Fair"
"ID20","5808ec7ff0740c0001789a1b",0.721427734443602,1.37301631266806,0.587050806355093,0.434479410406927,3.12028364787335,0.0570792542490393,0.85423303198171,NA,NA,NA,NA,NA,-72.5286804005775,0,8,"Unfair"
"ID21","584726b8f063d30001161e6a",0.0444774320494532,0.2269221453405,0.486745935777516,0.808356704961765,9.1112161805568,0.655478501027767,0.0169158708402945,NA,NA,NA,NA,NA,-65.9149196741105,1,8,"Fair"
"ID22","58513454b9f14b000151795f",1.18668387381995e-05,3.10460083558672,0.961645950420392,0.552128117364269,7.0706941626611,0.868927033640281,0.472218432306037,NA,NA,NA,NA,NA,-60.7558482522367,7,4,"Fair"
"ID23","5870336cdb3e720001e230cd",0.28997001555438,0.509273004317935,0.963740835167447,3.49007457993745,2.49069198176882,0.922586975886364,0.624018160269888,NA,NA,NA,NA,NA,-63.8615897839837,0,6,"Unfair"
"ID24","587291591c35f20001955c45",4.86222153769692e-15,4.55062270026939,0.0778171460928558,0.319055712918236,4.62584222406127,0.413849416980966,0.5869971039063,NA,NA,NA,NA,NA,-54.4784146327474,0,5,"Fair"
"ID25","587388b9db3e720001e2320e",0.999846126007852,1.31615618940961,0.999999999999991,1.40371952224234,4.68364857721292,0.119384405447387,0.000509759072349416,NA,NA,NA,NA,NA,-46.4763065938244,6,5,"Fair"
"ID26","587620554254cb0001c15a23",0.229224139307706,5.46446287802397,0.723728046160367,0.377350230245601,0.758619692511149,0.0114365529215908,0.0228935719604704,NA,NA,NA,NA,NA,-53.0995753179435,5,2,"Fair"
"ID27","5883d68d300c0b000113db56",0.997178836549843,4.38444223840488,0.934801546232303,0.181008940375876,9.56780197509499,0.00124998015937345,0.00525466424108326,NA,NA,NA,NA,NA,-71.38169338664,0,1,"Fair"
"ID28","58c3c197da66280001b3c6e8",0.44943905252635,0.2050176687028,0.613379249910119,0.35344994488633,6.73144785870148,0.48782973426105,0.00877567861111633,NA,NA,NA,NA,NA,-77.0620573920474,0,4,"Unfair"
"ID29","58cef97d5e07b6000139fa16",0.500769955584558,0.0139522353150249,0.997050470695983,2.50656120052587,2.22032083320712,0.488178506275073,0.0363571803621089,NA,NA,NA,NA,NA,-30.5796242098267,3,9,"Unfair"
"ID30","58f364d67b2e410001c2ed1d",0.23391044668211,0.0217509223037896,0.970884558734193,1.46438714764177,3.65598015160242,0.322191670406407,0.164073047107644,NA,NA,NA,NA,NA,-38.2862255581688,0,8,"Fair"
"ID31","58f89d1cedf274000143eb4e",0.999458071775189,3.3371860150454,0.983451774202711,1.57960537114615,5.37272671585829,0.000388665439858338,0.000634156513864906,NA,NA,NA,NA,NA,-71.079887280451,3,6,"Fair"
"ID32","58fa6e1bd0055c0001dd838a",0.334319083319657,0.943403947879018,0.683715784157948,0.190964944385409,0.754810735373772,0.0604200997178653,0.819910132410201,NA,NA,NA,NA,NA,-61.4554700951274,0,4,"Fair"
