"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID","54240de1fdf99b691fb383a8","1.03239118471","0.71","0.85","1e-06","0.999999","1e-06","-18.0952612708364","-12.8276053664783"
"ID1","54b60d74fdf99b1ce0367ab5","0.05","0.01","0.99","1e-06","0.999999","1e-06","-19.434416172784","-13.7733049707044"
"ID2","55780ee6fdf99b4cbc0aef95","0.484312542963499","0.01","0.99","1e-06","0.999999","1e-06","-56.7036728848292","-51.0715377810994"
"ID3","559cdad9fdf99b66f54b7794","2.20071021028099","0.57","0.71","1e-06","0.999999","1e-06","-40.5802198558199","-35.3450562355626"
"ID4","55a77810fdf99b444b9d255c","0.106583155826692","0.01","0.15","1e-06","0.999999","1e-06","-18.7015097840216","-13.3460844871043"
"ID5","55b95e2ffdf99b469f622883","2.20071021028099","0.15","0.29","1e-06","0.999999","1e-06","-61.1642915962276","-56.2838041537992"
"ID6","55d6d91d69dbc30005b66ffe","2.20071021028099","0.15","0.85","1e-06","0.999999","1e-06","-61.0197989817935","-56.0913841144216"
"ID7","56051814e372c00011bd556a","1.03239118471","0.71","0.85","1e-06","0.999999","1e-06","-16.0206838984732","-10.7530279941152"
"ID8","560aef7d01c38a00127693d3","2.20071021028099","0.15","0.15","1e-06","0.999999","1e-06","-52.5565149719495","-47.6281001045776"
"ID9","5687d434369319000c269c03","2.20071021028099","0.29","0.99","1e-06","0.999999","1e-06","-38.8309480520027","-33.7066407691537"
"ID10","56c81007ba8e37000d7b211e","1.03239118471","0.15","0.99","1e-06","0.999999","1e-06","-35.2216800174194","-30.5341842541018"
"ID11","56f699e876348f000c883bba","4.69117278543542","0.85","0.99","1e-06","0.999999","1e-06","-49.9865340550947","-41.787089643687"
"ID12","571de7af13b1b70009be2f26","0.227199382119539","0.01","0.99","1e-06","0.999999","1e-06","-50.6674951997439","-45.0774677880303"
"ID13","5744bbe15e549100063b08cb","4.69117278543542","0.85","0.15","1e-06","0.999999","1e-06","-46.9674593121449","-39.0235730614831"
"ID14","57611238eaf3f80007481e8e","2.20071021028099","0.15","0.99","1e-06","0.999999","1e-06","-57.1035042710223","-51.9195312429046"
"ID15","5778eeb20e49300001ba9ec0","4.69117278543542","0.29","0.85","1e-06","0.999999","1e-06","-63.2895777374518","-57.1399582874467"
"ID16","577a6900f8f7ed00014b537b","0.106583155826692","0.01","0.71","1e-06","0.999999","1e-06","-23.5666798785113","-18.2591820065376"
"ID17","5784d25070c76a00012427e0","0.227199382119539","0.01","0.99","1e-06","0.999999","1e-06","-36.4789939565878","-30.8889665448742"
"ID18","579fb6f46475d400015ab855","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-35.8124222435925","-30.6881149607434"
"ID19","57f8a3ece480f5000136f588","4.69117278543542","0.71","0.57","1e-06","0.999999","1e-06","-43.8717718224368","-36.8921233179704"
"ID20","5808ec7ff0740c0001789a1b","0.05","0.01","0.85","1e-06","0.999999","1e-06","-24.8690759382046","-19.4635228968708"
"ID21","584726b8f063d30001161e6a","0.227199382119539","0.01","0.99","1e-06","0.999999","1e-06","-58.5554226720479","-52.9653952603343"
"ID22","58513454b9f14b000151795f","1.03239118471","0.15","0.71","1e-06","0.999999","1e-06","-37.4079665572595","-33.0239563796312"
"ID23","5870336cdb3e720001e230cd","2.20071021028099","0.29","0.85","1e-06","0.999999","1e-06","-44.1344904184735","-39.2657412963703"
"ID24","587291591c35f20001955c45","0.484312542963499","0.01","0.85","1e-06","0.999999","1e-06","-69.1930398863466","-63.8164629433626"
"ID25","587388b9db3e720001e2320e","2.20071021028099","0.29","0.57","1e-06","0.999999","1e-06","-51.8305198108225","-47.0271256813128"
"ID26","587620554254cb0001c15a23","1.03239118471","0.01","0.85","1e-06","0.999999","1e-06","-71.8307938719907","-66.2735340593341"
