"","ID","tau","lrc","reset","sal","mem","zeta","dlrc","lp","sumll"
"ID168","5cd707bb2e50c90017583e61","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-75.8384724410321","-60.9549860696306"
"ID169","5cd726aab1fa62001a8de584","4.69117278543542","0.15","1e-10","0.085715","0.999999","1e-06","1e-10","-63.9447839545267","-48.571103723583"
"ID170","5cdc5fc0243827001706434f","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-48.0793898605789","-33.8247484344621"
"ID171","5cdd35e1ffe01a001631cd78","1.03239118471","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-33.9535310988391","-20.1953669375223"
"ID172","5cdd8bb5fceec6001763f998","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-75.9791176848536","-60.4436059308349"
"ID173","5cdfb5e4b5dcb500011d0d07","0.227199382119539","0.01","1e-10","1e-06","0.999999","1e-06","1e-10","-36.5028371093131","-19.1866800280497"
"ID174","5ce50e4054e33d0001189577","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-64.5470443262211","-49.0115325722024"
"ID175","5ce56b5de9e85d00159a0174","4.69117278543542","0.29","1e-10","0.3","0.999999","1e-06","1e-10","-46.3793498481012","-31.3117585202256"
"ID176","5ce65aa96ad4e50001097566","0.05","0.15","1e-10","1e-06","0.999999","1e-06","1e-10","-18.0578151332266","-1.79589647168192"
"ID177","5cee4a172674040001d07c5b","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-63.0378731129157","-47.5023613588971"
"ID178","5ceebfea7a3448001a6dd6ee","2.20071021028099","0.01","1e-10","0.257143","0.999999","1e-06","1e-10","-70.5080698383271","-55.5126791589728"
"ID179","5cf03597beaebd001f0d73ab","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-70.56303301437","-55.6795466429686"
"ID180","5cf0f45706fb120015ecfd2e","2.20071021028099","0.29","1e-10","0.214286","0.999999","1e-06","1e-10","-37.6100164378457","-23.7680558429211"
"ID181","5cf12ddbf17e370017a278c5","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-48.4720399966167","-34.2173985704998"
"ID182","5cf656e90acc8f000147f643","4.69117278543542","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-76.1511910980014","-60.6156793439827"
"ID183","5cfe7e8bc2acc60001196300","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-58.4269881787726","-44.1723467526557"
"ID184","5d0124a5b35d41000152ded3","1.03239118471","0.71","1e-10","1e-06","0.999999","1e-06","1e-10","-29.4628179794502","-12.2134742447967"
"ID185","5d0a345d8d7a4b000172fb93","2.20071021028099","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-79.734239797147","-64.3542761609454"
"ID186","5d0b787c4d659a000139110b","2.20071021028099","0.15","1e-10","0.042858","0.999999","1e-06","1e-10","-53.6134713958804","-39.3588299697636"
"ID187","5d0cc9b80622c6000144f1d6","4.69117278543542","0.15","1e-10","0.128572","0.999999","1e-06","1e-10","-61.7977972103072","-46.513480010756"
"ID188","5d124464019fa6000162bfdb","1.03239118471","0.01","1e-10","0.042858","0.999999","1e-06","1e-10","-75.6391756699459","-60.7556892985445"
"ID189","5d1290103b20b0000102e8e3","2.20071021028099","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-37.023225100847","-23.1040133299166"
"ID190","5d166c21e1c05200198b446d","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-67.7501684461622","-50.8997314937634"
"ID191","5d1bbbd63788ac0019ced5d9","2.20071021028099","0.29","1e-10","1e-06","0.999999","1e-06","1e-10","-48.218941012034","-31.3685040596352"
"ID192","5d1bcfd2e24a990001f327a3","0.106583155826692","0.29","1e-10","0.128572","0.999999","1e-06","1e-10","-30.0127547711475","-16.7672854253061"
"ID193","5d211227bdbc65001b7ace0a","10","0.43","1e-10","0.3","0.999999","1e-06","1e-10","-77.4060692136066","-58.4490767623773"
"ID194","5d24c2146dd2960016cef0b7","2.20071021028099","0.43","1e-10","1e-06","0.999999","1e-06","1e-10","-37.2704008363992","-20.2874731130438"
"ID195","5d26c8bc341630001a250a2f","2.20071021028099","0.29","1e-10","0.128572","0.999999","1e-06","1e-10","-43.9212597878592","-29.9774786614784"
"ID196","5d279cd62c5700001b7ec29a","4.69117278543542","0.15","1e-10","0.3","0.999999","1e-06","1e-10","-52.1647803994447","-37.0375233263004"
