"","ID","tau","lrc","reset","sal","mem","zeta","lp","sumll"
"ID","54240de1fdf99b691fb383a8","0.227199382119539","0.01","0.99","0.085715","0.942856714285714","1e-06","-16.7096297472837","-15.0263428524366"
"ID1","54b60d74fdf99b1ce0367ab5","0.227199382119539","0.01","0.99","0.3","0.985713428571429","1e-06","-16.6196679471292","-15.0486251585475"
"ID2","55780ee6fdf99b4cbc0aef95","1.03239118471","0.01","0.99","0.085715","0.9","1e-06","-51.0575007234782","-49.2027321396299"
"ID3","559cdad9fdf99b66f54b7794","2.20071021028099","0.71","0.29","1e-06","0.9","1e-06","-31.3769042076833","-26.8014550583972"
"ID4","55a77810fdf99b444b9d255c","0.106583155826692","0.01","0.01","1e-06","0.9","1e-06","-17.5813941289714","-13.1111672662368"
"ID5","55b95e2ffdf99b469f622883","1.03239118471","0.01","0.15","0.128572","0.9","1e-06","-55.7179732087889","-54.2081258170788"
"ID6","55d6d91d69dbc30005b66ffe","1.03239118471","0.01","0.71","0.128572","0.971427857142857","1e-06","-56.6486244772547","-55.0690679379564"
"ID7","56051814e372c00011bd556a","1.03239118471","0.15","0.29","0.042858","0.999999","1e-06","-15.0211460792404","-13.2925971731627"
"ID8","560aef7d01c38a00127693d3","0.484312542963499","0.01","0.01","0.085715","0.9","1e-06","-42.3218115764047","-40.6477258622288"
"ID9","5687d434369319000c269c03","2.20071021028099","0.15","0.99","0.042858","0.971427857142857","1e-06","-34.4751620115764","-32.9697702774059"
"ID10","56c81007ba8e37000d7b211e","0.484312542963499","0.01","0.99","0.3","0.9","1e-06","-32.0584842825037","-30.6308217261274"
"ID11","56f699e876348f000c883bba","0.484312542963499","0.01","0.99","0.085715","0.9","1e-06","-43.298633258814","-41.6245475446382"
"ID12","571de7af13b1b70009be2f26","0.484312542963499","0.01","0.99","0.042858","0.9","1e-06","-43.6360807290754","-41.8001634918246"
"ID13","5744bbe15e549100063b08cb","4.69117278543542","0.43","0.15","0.3","0.985713428571429","1e-06","-39.0652463720215","-36.8021207741917"
"ID14","57611238eaf3f80007481e8e","4.69117278543542","0.15","0.43","0.042858","0.985713428571429","1e-06","-52.8324107697587","-50.299210509336"
"ID15","5778eeb20e49300001ba9ec0","4.69117278543542","0.15","0.71","0.042858","0.9","1e-06","-59.0235732937443","-56.6584333898931"
"ID16","577a6900f8f7ed00014b537b","0.106583155826692","0.01","0.71","1e-06","0.985713428571429","1e-06","-22.7535279439777","-18.4012987427109"
"ID17","5784d25070c76a00012427e0","0.484312542963499","0.01","0.99","0.085715","0.985713428571429","1e-06","-34.5754661485575","-32.7158925101601"
"ID18","579fb6f46475d400015ab855","2.20071021028099","0.29","0.01","1e-06","0.999999","1e-06","-35.8124222435925","-30.6881149607434"
"ID19","57f8a3ece480f5000136f588","2.20071021028099","0.15","0.43","0.042858","0.9","1e-06","-33.8411077504132","-32.7742657421138"
"ID20","5808ec7ff0740c0001789a1b","0.05","0.01","0.85","1e-06","0.957142285714286","1e-06","-23.4254750912567","-19.0821059217354"
"ID21","584726b8f063d30001161e6a","1.03239118471","0.01","0.99","0.085715","0.985713428571429","1e-06","-54.3987126447689","-52.3584561366991"
"ID22","58513454b9f14b000151795f","1.03239118471","0.15","0.71","1e-06","0.985713428571429","1e-06","-36.5917181650954","-33.162976658174"
"ID23","5870336cdb3e720001e230cd","2.20071021028099","0.15","0.71","0.042858","0.985713428571429","1e-06","-40.1071727545068","-38.8374152543359"
"ID24","587291591c35f20001955c45","2.20071021028099","0.01","0.43","0.3","0.9","1e-06","-64.4225169292359","-62.6386073917263"
"ID25","587388b9db3e720001e2320e","2.20071021028099","0.29","0.85","1e-06","0.9","1e-06","-46.4459202054594","-42.7179276782846"
"ID26","587620554254cb0001c15a23","2.20071021028099","0.01","0.71","0.085715","0.9","1e-06","-67.6664042954919","-65.6186440325327"
"ID27","5883d68d300c0b000113db56","1.03239118471","0.29","0.99","0.128572","0.9","1e-06","-23.9802619420555","-23.399844344953"
"ID28","58c3c197da66280001b3c6e8","2.20071021028099","0.15","0.71","0.042858","0.9","1e-06","-39.7480625535962","-38.6637929776469"
"ID29","58cef97d5e07b6000139fa16","2.20071021028099","0.01","0.85","0.3","0.9","1e-06","-64.696439466483","-62.8471749363799"
"ID30","58f364d67b2e410001c2ed1d","0.05","0.01","0.85","0.3","0.9","1e-06","-3.82794195985113","-2.62686146587069"
"ID31","58f89d1cedf274000143eb4e","0.05","0.01","0.85","0.3","0.9","1e-06","-3.10658744543724","-1.90550695145679"
"ID32","58fa6e1bd0055c0001dd838a","0.484312542963499","0.01","0.85","0.3","0.985713428571429","1e-06","-26.889733679157","-25.5321413593049"
"ID33","590f202eea0e130001039e1f","4.69117278543542","0.29","0.85","0.214286","0.971427857142857","1e-06","-43.4145376455979","-41.2965145754636"
"ID34","593ead9ea514380001e5cf86","2.20071021028099","0.57","0.15","1e-06","0.985713428571429","1e-06","-33.5845746727102","-29.2567522982162"
"ID35","595339f4ad2ce90001b88266","0.227199382119539","0.01","0.99","0.042858","0.9","1e-06","-23.4897349019787","-21.6959253567441"
"ID36","5953d37b3d663c00011d233c","4.69117278543542","0.15","0.43","0.042858","0.9","1e-06","-60.9589041576974","-58.6111918214963"
"ID37","598ab1ed19432500016fafa1","2.20071021028099","0.01","0.71","0.042858","0.9","1e-06","-66.8287993706482","-64.6192075846141"
"ID38","5991c4a8e339120001fb8c7e","1.03239118471","0.01","0.85","0.3","0.9","1e-06","-45.1053242944475","-43.7525370291444"
"ID39","5995ed90d1732a00013425c5","1.03239118471","0.01","0.15","0.128572","0.9","1e-06","-58.5871972484903","-57.0773498567803"
"ID40","599614af004c4f0001cc8642","1.03239118471","0.01","0.01","0.085715","0.985713428571429","1e-06","-45.2842551173242","-43.2439986092543"
"ID41","59c80c180aaf750001213cbf","1.03239118471","0.57","0.99","1e-06","0.9","1e-06","-29.7961269194155","-25.8947115731974"
"ID42","59d38d62323bd80001e200bc","2.20071021028099","0.01","0.99","0.3","0.957142285714286","1e-06","-60.2525379783866","-58.0691425644218"
"ID43","59d4b084115096000190dbce","2.20071021028099","0.43","0.99","1e-06","0.985713428571429","1e-06","-27.5027553502074","-23.2012259671087"
"ID44","59e5fd82e75b450001a691ec","2.20071021028099","0.57","0.71","1e-06","0.985713428571429","1e-06","-25.8615214495522","-21.5816265000018"
"ID45","59e8cb08bab73300016bd7f7","2.20071021028099","0.29","0.57","1e-06","0.971427857142857","1e-06","-49.6494281042252","-45.8691539971121"
"ID46","59e9d2c6c0d35a0001295448","0.484312542963499","0.01","0.99","0.3","0.914285571428571","1e-06","-23.1448678346526","-21.7033651970318"
"ID47","5a3996f6ae52e600010a0192","0.484312542963499","0.01","0.15","0.042858","0.9","1e-06","-51.2023966539638","-49.6220375774587"
"ID48","5a3a570307245d0001fc0692","1.03239118471","0.01","0.71","0.3","0.985713428571429","1e-06","-50.5125179390932","-49.0221701745122"
"ID49","5a3c0b842f91ec0001dc9bb4","1.03239118471","0.01","0.29","0.3","0.928571142857143","1e-06","-50.4748042643958","-49.1394228239545"
