"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.493689028768925,0.738626850941858,0.486371445559711,0.65971263748215,0.982574775291544,0.0966368514993321,0.728613400920828,0.379576551245271,NA,NA,NA,NA,38.1879301652059
"ID1","54b60d74fdf99b1ce0367ab5",0.420402486256222,0.770160006386904,0.0179236009730935,0.702947329597439,0.200660654556009,0.0559034480526626,0.0478439203960735,0.375105334486742,NA,NA,NA,NA,50.1155446853257
"ID2","55780ee6fdf99b4cbc0aef95",0.427468010981573,0.989763624717435,0.700589478628929,0.0291977953539949,0.568618569127026,0.0672727546671352,0.0833253216660444,0.755464035524459,NA,NA,NA,NA,58.2502948691169
"ID3","559cdad9fdf99b66f54b7794",0.859401312657113,0.978762838523845,0.960561291690048,0.428912690973099,0.921227379416774,0.138489749674542,0.825202315302157,0.220612772129402,NA,NA,NA,NA,21.1952379061844
"ID4","55a77810fdf99b444b9d255c",0.698019423032966,0.743584870410272,0.258927051788458,0.461702782293603,0.995750144823787,0.0468610803527704,0.84066213399512,0.165372182680464,NA,NA,NA,NA,62.2013035371732
"ID5","55b95e2ffdf99b469f622883",0.609841132247414,0.979750621344152,0.16436047843242,0.573170213298109,0.828409733929403,0.0964592884514402,0.84505547500316,0.734220004424173,NA,NA,NA,NA,36.0399533462238
"ID6","55d6d91d69dbc30005b66ffe",0.0580720503987018,0.98484811203605,0.102046647050055,0.970850035962882,0.913391471056828,0.0269096606883081,0.645068171402146,0.277948839823528,NA,NA,NA,NA,65.4309809513418
"ID7","56051814e372c00011bd556a",0.754638525788798,0.871383443868027,0.98725539116973,0.267642243678126,0.967403344125729,0.057904431668084,0.373225406489977,0.231721972595775,NA,NA,NA,NA,60.2673054392505
"ID8","560aef7d01c38a00127693d3",0.517052030449941,0.555767495850868,0.370005639051537,0.663221743547707,0.000373019910829393,0.0143061191262089,0.0689026123034042,0.901287951572884,NA,NA,NA,NA,124.863671657066
"ID9","5687d434369319000c269c03",0.335034384594757,0.858557437599983,0.0848224542084088,0.481689785382834,0.973894847646954,0.0873224650314904,0.554602573656493,0.240526601201353,NA,NA,NA,NA,39.2915442880906
"ID10","56c81007ba8e37000d7b211e",0.279735170310791,0.913563154473874,0.590294209240714,0.357355799028364,0.0112255012809439,0.0359901965285084,0.187613105276188,0.336864456036294,NA,NA,NA,NA,70.1115399872102
"ID11","56f699e876348f000c883bba",0.428900962107558,0.988258216631681,0.00138923811520629,0.965464617771811,0.772910508935503,0.0499595268199673,0.310095912205897,0.569099456074593,NA,NA,NA,NA,57.7913020559863
"ID12","571de7af13b1b70009be2f26",0.460674196362314,0.951070456818003,0.206853080789792,0.593959280126596,0.966406790285489,0.082009779219637,0.507397313251365,0.355731023315152,NA,NA,NA,NA,39.9205568132515
