"","ID","pHI0","uHI0","pSI0","uSI0","upi","etaHI","etaSI","ll","Persec","ICARTot","Order"
"ID49","5a3c0b842f91ec0001dc9bb4",0.465019002513814,0.611198566591625,0.426415944010633,0.508287339450764,4.57691928175773,0.0610193209838333,0.0824319147682071,-74.1964602227493,0,2,"Unfair"
"ID50","5a4e26a8f4c9dc0001b7a1b5",0.904372430191353,1.06750512622496,0.735895302710233,0.022712554971535,4.13097712351566,0.996925039995513,0.383519336206921,-56.0449145643534,0,6,"Fair"
"ID51","5a5a3ec6ac5624000153e0f7",0.899425633422223,2.71219528689911,0.948832794196172,0.0330207610791844,1.91413661046407,0.396386871789066,0.212097933094648,-54.4593198665777,0,2,"Unfair"
"ID52","5a5d1194acc75b00017a7b8f",0.199890352151015,0.798692898597612,0.462074334781636,0.0401556775828366,2.62485051855169,0.835808369770972,0.391508394108365,-50.0319840528153,9,4,"Fair"
"ID53","5a69d77a56585a0001633482",0.00140767694426761,3.95965439888695,0.29421583832337,12.5521725446226,12.8005790721556,0.582927542572316,0.288626139073771,-90.4861134448129,2,4,"Unfair"
"ID54","5a6f7604ff6f2300013edcd8",0.9204381733808,0.76375541389746,0.999840356332696,2.86117824143193,4.06656437388545,0.749474357487482,0.359926039766721,-71.9655792003984,3,0,"Unfair"
"ID55","5a8b513317ef35000170b86f",0.998289053450971,0.756218401700546,0.999153611711973,3.03591698065772,5.42580214649125,0.406985388571756,0.53562308464937,-77.7523580297348,10,6,"Unfair"
"ID56","5a8c78b0ae9a0b0001aa27fd",0.39270089054188,0.574635675090849,0.195405353853087,2.24677636485385,4.17365694921975,0.334003810139714,0.991110047431608,-78.2624727810393,21,2,"Fair"
"ID57","5a90460d1eda41000135f918",0.200065500743645,0.191721685009356,0.282557581983031,6.24921170814017,8.75732242241724,0.169434987055093,0.0850859117948786,-76.5860331884881,8,6,"Unfair"
"ID58","5a94a3344eecca0001dd3c52",0.77153514827964,4.1873684963498,0.996316358395404,0.0532769874957714,5.39239415907246,0.0421914526435166,0.591058752722271,-51.8699731587252,0,2,"Fair"
"ID59","5a9d68a3dbdb470001eefb79",0.954081626274619,0.0167267616841214,0.999099600045129,3.52047882274791,2.87389293938591,0.26655352273479,0.0495587315430495,-72.7206715033927,8,6,"Unfair"
"ID60","5aa696af6219a30001c75d2a",0.141741173776086,0.365119969533351,0.106034816368452,0.361049353857637,3.84233170739972,0.391791934403276,0.716894579391165,-71.3748497796373,0,4,"Fair"
"ID61","5aa9528235237b0001132675",0.493156984173635,0.0835646961627787,0.462867446161136,0.0856029625628545,7.92271032204714,0.358980543372922,0.0175749124738707,-66.2007425972369,6,1,"Unfair"
"ID62","5ab3bc131204f90001c965bd",0.00731199394369992,0.823564256531035,0.00196707104289347,2.36309504453372,1.13057684823137,0.572338719120337,0.788670061555184,-57.4349269082117,4,6,"Fair"
"ID63","5ab4e55cf69e940001d8d3bf",0.0657689207997203,1.1232679477345,0.0788536524995118,0.481572725988178,5.9914433981078,0.0214645966767556,0.0338091679810185,-80.7894021442468,7,1,"Unfair"
"ID64","5ab5509cf69e940001d8d954",0.611152236860958,0.960946605866945,0.604653631738283,2.05734682438355,0.174773683688598,0.269906891518528,0.169638106054959,-44.4044843585976,11,5,"Fair"
"ID65","5ac3b825e734400001da2436",0.0351163716028075,2.50865399744051,0.062831835893417,2.26984603606648,0.762766644335547,0.703069203869141,0.957645186822021,-86.165196755201,1,2,"Fair"
"ID66","5ad3bfc75b53cb0001f35839",0.625778083407032,0.297249781875,0.663114019043784,0.53999486013963,2.75963304450836,0.117988604907013,0.0425011733162645,-63.2376091811207,0,2,"Fair"
"ID67","5ad658e2a38d7b00013afe89",0.136082359769633,0.0418317539157517,0.991674106849897,2.6848426077702,5.32329083981714,0.766842432717837,0.722355786498071,-50.8800241712849,0,5,"Unfair"
"ID68","5adf629ddee8590001b05f7b",0.561051636155968,6.49318586578101,0.976990784882348,0.599262034323512,14.9248655978038,0.446067307616563,0.0537459245842927,-85.2106845756265,0,8,"Fair"
"ID69","5ae1a263066c510001d48146",0.239049554956852,0.996351337244581,0.23474427257011,1.09455071319836,0.204526857539217,0.852094966980686,0.777526408943057,-46.3826219945736,6,1,"Fair"
"ID70","5ae59bec7edeb000014a828c",0.997246527781765,0.810165537853714,0.999880548512969,1.27189177941737,2.63353612923055,0.69420798670531,0.200256111030249,-72.7318480639445,2,0,"Unfair"
"ID71","5ae9f13b9b283d00017ee04d",0.327618632422079,0.658456506130295,0.933027114272739,2.34632421316747,2.20471811726023,0.0260898925446005,0.977502253901089,-65.6851962526796,6,0,"Fair"
"ID72","5af344dfdf9933000161f47a",0.0053043862440837,0.372991669671395,0.135275427608813,2.90022259763224,4.20508125995833,0.782022260385147,0.291117358491288,-44.8237998164481,0,3,"Unfair"
"ID73","5afc2d1f2406810001d625c0",0.000103168125564992,2.49432293667758,0.367744236961035,1.60805742726136,1.19878277966148,0.887014757429302,0.318015148704498,-40.9957223978899,1,8,"Unfair"
"ID74","5b1d5e16503f020001e684aa",0.954123072095682,0.0510899786335044,0.999958301671657,1.63114102733749,1.99747089561882,0.895629163511987,0.345225525024277,-61.8305368218801,11,4,"Unfair"
"ID75","5b1ed2783522660001b464eb",0.982469892090944,0.390605078693478,0.997592078672075,1.30813274071029,17.5239656352778,0.732465856223879,0.588216858182969,-79.0319313889975,0,2,"Unfair"
"ID76","5b1fe253b803da0001dfbc8d",0.5284202155965,0.345212007299404,0.609841537625521,0.0690936571219155,5.16255728873631,0.370222493292849,0.939334228561355,-62.7805792587095,6,0,"Unfair"
"ID77","5b35bd1d532e3d00018e8b27",0.246257275110923,0.0391836574814074,0.993557071657232,4.08031121940009,1.36397788838172,0.182430141758458,0.996475383899102,-26.3143987477301,0,3,"Unfair"
"ID78","5b491b4eac6f5a0001549493",0.964896961362935,0.004522138552086,0.999879268216327,3.26266734849188,4.15871816079753,0.553507921436535,0.179536246498132,-77.1631415290099,13,3,"Fair"
"ID79","5b49d3a519f8e70001b7df02",0.992642936399664,0.0516738720613177,0.998213352495899,0.79586671939037,3.07225751019933,0.188312333804319,0.277640585361282,-75.6587173297627,0,3,"Unfair"
"ID80","5b5d4bfc4e945800017db533",0.0138715979924403,0.127663286492568,0.00517536210681412,0.210813734459876,3.48512496709634,0.432812650241854,0.353883913793091,-96.4714217952002,2,0,"Unfair"
"ID81","5b5dfd9c4e945800017dcd79",0.0750257118754498,1.97678572483995,0.645373915032881,3.91938046700292,0.643380410779226,0.0398792238044387,0.108937698153518,-42.0704466489941,0,6,"Unfair"
"ID82","5b630cec6abdd90001d98c3f",0.850158491381988,2.71857131698237,0.988230467737696,0.133505660161132,5.86663177992048,0.0556714529555055,0.113969013828172,-62.4558436342531,6,5,"Fair"
"ID83","5b707d214415ce0001b1fd78",6.43855845789043e-05,3.79782028054919,0.673942603286948,0.407293478213864,2.35626022293429,0.598749139618658,0.39281386643813,-39.4952784685263,2,8,"Fair"
"ID84","5b72d8042aeef10001972da0",0.330217082023444,0.120122127855835,0.859241208962298,0.288175949704834,5.15291359483952,0.750210848226877,0.517347745575008,-65.3811218242913,1,3,"Unfair"
"ID85","5b8fe19ae3a406000131f1a6",0.988579174576817,0.439066398731634,0.978662429610688,2.90906489953627,5.76620276109323,0.256192826632859,0.0601569341112262,-63.3569896731594,5,2,"Unfair"
"ID86","5b97a1e083bd380001b92485",0.372750779788903,0.377202858340046,0.492784432977352,0.405478466572947,0.80104485257686,0.558751956303016,0.159661715552321,-51.8708717064685,0,6,"Unfair"
"ID87","5b9e1e607b196f000195b599",0.00425371200434818,0.14103158788639,0.967097967593531,4.49919725258501,3.52154155882457,0.628163222831035,0.907488850628806,-29.6848558317299,0,8,"Unfair"
"ID88","5bb756696322c5000159756c",0.835623834392816,0.739079571114643,0.999960453497067,3.41772334970116,4.83472470204203,0.127852832043842,0.245091849525173,-71.8743697994673,3,9,"Fair"
"ID89","5bbe3c5cee6586000142be43",0.00831666244473404,2.51339843686165,0.00466309491099758,2.78646341305901,2.59956995942744,0.0444295558991034,0.894896115012232,-68.9729167210784,11,2,"Unfair"
"ID90","5bc08c345e8a950001892156",0.0557204288856977,0.0714477133380185,0.569369098780718,0.31126967863637,1.55683938799625,0.71426161759256,0.10120652011806,-24.4444054640172,0,9,"Unfair"
"ID91","5bc642c0069008000139d18b",0.299927528498117,0.37603040102982,0.7525412702398,0.588634885087919,2.60413505914645,0.748716677632889,0.291829007461428,-61.5396411867834,1,9,"Unfair"
"ID92","5bdc3c8182698d0001f076c3",0.188606794851814,0.156310034504578,0.665519175176174,4.06799834059347,0.82233917911085,0.715130034178203,0.0679253879017313,-40.1707007866098,0,7,"Unfair"
"ID93","5be1f75bd536990001a4410c",0.666641749576415,7.35190045839314,0.976882388412999,0.603469163857887,12.4300097483644,0.346728495091054,0.02048749080859,-80.4689010864922,1,4,"Fair"
"ID94","5be2fadf5e9fd30001696162",0.885905899025977,1.45032023302903,0.983678133783676,1.91650393335462,10.161934652879,0.435303051516692,0.807169788004876,-84.3943336094167,1,7,"Unfair"
"ID95","5be415810241050001ca2318",0.988864450019237,4.12693809457159,0.947860982328317,0.250282373641939,9.28580283496355,0.198228216017954,0.0638080962509173,-73.543242114567,0,5,"Fair"
"ID96","5bec2847ac6b780001fec122",0.0113956540494593,1.6826005129654,0.00194138096090611,3.00337118761384,1.29078584398141,0.494238263942025,0.601046184110362,-57.1680174788969,0,9,"Fair"
"ID97","5bec6a8b1209fb00011bb521",0.116225995529415,3.12189362578777,0.0874825937337146,7.48501570896737,5.21695355696922,0.242333117750332,0.172271317967574,-83.9646137107663,0,7,"Fair"
"ID98","5beefb60e015710001cbb721",0.952305189488154,2.41244810707116,0.999971065794699,1.83401543531725,1.79219041879609,0.348295206522017,0.369812637696222,-75.965371600552,14,3,"Unfair"
"ID99","5bf2f728bd9f150001f6cc42",0.00482020674513088,4.66483034107808,0.712425351098267,3.55308153499592,2.24710710944747,0.212007642470241,0.00118032899185877,-65.6183862650315,32,6,"Fair"
"ID100","5bf4123e840310000124cfca",0.854346210239845,0.545548475182774,0.991459380470483,0.792228754242026,11.6072375347286,0.0619844650667636,0.028909832488894,-78.2984940273582,0,3,"Fair"
"ID101","5bf44a04d7e7a70001d7a672",0.865310542497584,2.29995422762594,0.934049396559707,0.816296997643371,8.79752591877966,0.133632187609909,0.0236719282960431,-78.6281286413781,0,10,"Fair"
"ID102","5bf4584fabf94600013a9fa1",0.930039240389157,1.00606767956514,0.911516860187473,0.0707775530796404,2.10956517350955,0.030869768457862,0.0599584950001311,-47.8630426478999,10,1,"Fair"
"ID103","5bf5b2627ea49f0001ba9372",0.827352930267755,4.4452880634965,0.968551075746736,1.26890674019193,11.0708324940187,0.173758117620852,0.0642019787904208,-88.4536884447516,0,3,"Fair"
"ID104","5bf728483db90d0001f48ff7",0.211472941679638,0.0418805429970234,0.731216526008436,3.58120588325806,4.6483711584495,0.540178440543294,0.797477855012781,-52.8736501067171,10,3,"Unfair"
"ID105","5bfed3f1aa5fa3000136a998",0.0398731847530023,8.2782280053632,0.272624504975941,4.68766368485846,0.272375192718576,0.127495932673806,0.0506993291064549,-59.770923432367,0,5,"Unfair"
"ID106","5c081c45fd9c080001709937",0.720708045608505,0.254197630297991,0.815689754152775,0.744671782490598,1.72615581854791,0.333754121728739,0.242970543328044,-50.0816519232281,10,7,"Fair"
"ID107","5c0843f24452300001df4ea0",0.0230696037491564,0.386017733583369,0.903118524724128,1.92607222895634,4.26134720942238,0.506779486205322,0.972516129115713,-47.7279150144783,0,7,"Unfair"
"ID108","5c10377461df5c0001cb4906",0.996540951252843,0.335400440135858,0.997172794031607,0.626689872520038,2.18423268986254,0.020030810022502,0.155949956099363,-41.8447797586631,2,2,"Unfair"
"ID109","5c1129084be31a00014802fb",0.995054786036872,2.26890571853403,0.749056906122721,0.129041526070051,2.35633203586617,0.952395553489854,0.407789278828592,-50.9830177369461,33,3,"Fair"
"ID110","5c1a54257fa1590001b96070",0.187027359215302,0.316960944504507,0.542885750779584,1.34443506667092,4.1535315655942,0.899151333127066,0.42782833879066,-69.3747153809381,9,5,"Unfair"
"ID111","5c1a9e323407be0001cf8165",0.641340927018074,0.926804482505788,0.673640909651671,0.168488660074791,3.22312477204074,0.055698085827306,0.214979158134471,-70.9232030813506,0,1,"Unfair"
"ID112","5c23615d70d93a0001202ea2",0.953380998313007,2.45291489789522,0.994765516620549,0.307864852960722,8.03390393484832,0.76607246687982,0.515487928621735,-69.2515055907226,0,7,"Unfair"
"ID113","5c28b31a0091e40001ca5030",0.233578127829191,1.93222017757284,0.695561868697378,0.505774619552214,0.64213553298446,0.895888504523011,0.814873102698333,-54.0268107009037,0,4,"Fair"
"ID114","5c296b31e9b1b20001b8ac77",0.012608667988851,0.505150475267285,0.851140471573453,4.42706098104205,5.61428052730325,0.763054624733785,0.0599762009880698,-62.9194422873188,4,9,"Fair"
"ID115","5c36776624643200010eb6e5",0.433264904047375,0.119380470590415,0.702400948578134,2.99403517714723,1.43562028906429,0.549159033091411,0.220890954257352,-47.2652547312295,1,10,"Unfair"
"ID116","5c377f1965e5c300013ee88a",0.0368362969944711,1.64540862313248,0.295886723347175,3.21637848435041,1.26280097926561,0.154595257321767,0.0118672575168162,-57.9559019995887,0,7,"Fair"
"ID117","5c3ce5cde0ea82000145f9f9",0.217431691805986,0.189270785379489,0.213198732700816,0.522782363726456,0.416850345314095,0.433471012028846,0.72971015171313,-46.3763102390437,0,7,"Fair"
"ID118","5c3d9334337ac90001a4d6cf",0.0413948931906069,0.753274308868408,0.452356968992854,0.25208829838722,4.50330867410775,0.586869235819674,0.238159117058147,-70.9717143232687,0,9,"Unfair"
"ID119","5c3f7c6329966300010dce78",0.602734007066371,0.547484128246507,0.61780274710271,0.368670062922011,1.34631486015682,0.146361401598647,0.59029899962429,-55.9881066808821,7,0,"Fair"
"ID120","5c47260028cab20001a74aae",0.952571015729832,6.85749335233889,0.989385959294468,2.02439363103434,8.47979867317424,0.0139573633744409,0.240213653371197,-84.0193553931476,1,5,"Unfair"
"ID121","5c4783f5c41b2a000183a24d",0.462490856365824,0.0346032061974141,0.991534900736347,0.185981708937439,6.33873368878511,0.096425296092092,0.466675382591235,-35.0227136371643,6,7,"Unfair"
"ID122","5c48f116c41b2a000183e340",0.553965561228742,0.53862764059269,0.940279562543161,2.85719997298238,2.11163609193241,0.215627507950926,0.073155616112758,-67.369542518074,0,5,"Fair"
"ID123","5c4b6366c547dc0001934854",0.670013127487818,3.37807110387759,0.959964164304736,0.659665975351675,1.07472753646248,0.0028199349845682,0.961041205077087,-56.9392280930331,1,8,"Fair"
"ID124","5c50ce81d99f9d0001b0f696",0.349563387836841,0.302436845559146,0.456132391192535,0.241028401169508,2.08160030792758,0.852464073986582,0.00828199093948738,-64.3423036935073,25,3,"Unfair"
"ID125","5c56eb0e59095a0001bac969",0.00351414079153602,1.87371858765329,0.900649052969671,1.98075903150997,6.49080442241519,0.720816935704615,0.714217631843441,-73.6702707941723,0,8,"Unfair"
"ID126","5c576413a7890b0001f59a92",0.99730019507188,0.0636930117644901,0.997740862369085,0.466148822785009,3.68555235802353,0.640495291092878,0.31434159686019,-66.7146315343935,9,6,"Fair"
"ID127","5c5d4afe4cc94200016a4982",0.516355785382507,0.0254888522165149,0.613128244432222,0.0517746414042144,3.8246361890927,0.906925008024673,0.0347619236873553,-43.9093383927113,5,4,"Unfair"
"ID128","5c634aca9d0d7000012479a0",0.715607800978692,0.475332855926384,0.88025935180512,0.117591423997727,4.85702824564132,0.926917353548583,0.908899644116892,-55.6442793842846,6,7,"Unfair"
"ID129","5c654e352f6d5e000174bae5",0.27907216655637,0.58728834852549,0.922703680067188,1.21998055634679,1.53584123774691,0.584736537312369,0.163875912134311,-53.0891334789943,13,8,"Fair"
"ID130","5c69be6ac3aaf50001c69311",0.678055486457836,2.38614212478197,0.685531538322027,1.83491775313804,1.22909134935814,0.269709836752834,0.299105293077129,-75.6642989437535,0,5,"Fair"
"ID131","5c6c08c5d9c1580001ce9aab",8.86129300988027e-05,1.82704673956304,0.608653081701579,0.913738620868636,1.56236784223456,0.487314260705632,0.00955955924401607,-36.7220242263113,0,5,"Unfair"
"ID132","5c6c78c4f9951f0001db8bd5",0.516793101868552,0.557162347049183,0.616020861610942,0.31055263416036,0.586754409664356,0.359403491049685,0.371218318749542,-47.610480008072,4,3,"Unfair"
"ID133","5c6de2ba2bdd040001d6b293",0.332170551159048,0.237950797994574,0.416938608917643,1.66115564192559,1.62652840794118,0.82941586059175,0.0835165675865729,-58.48683945487,3,2,"Fair"
"ID134","5c6fc42118508b0001e1e711",0.958477328844305,3.21136575421839,0.99999609065131,0.669274325099517,3.34227931398358,0.712018360791948,0.226823776181617,-74.0086087085455,2,4,"Unfair"
"ID135","5c7840493454d70001df81ee",0.398884558261249,2.03956692840367,0.999947171561361,2.15298396101813,3.18970719450209,0.400301047774157,0.0345522848418948,-54.288800055498,2,9,"Unfair"
"ID136","5c790c7e8fbcb100146b6cd8",0.940333448306441,3.42889578864863,0.99327404907256,0.0550715703165439,6.57472687369688,0.00299696035758645,0.26298035505235,-64.2889298512524,7,3,"Fair"
"ID137","5c7e22dc6babcb0001850548",0.755095069784682,2.14435443420363,0.899533140466832,3.37524106817533,9.33750124693552,0.0988986475559012,0.0375161922891819,-83.8608037002318,0,2,"Fair"
"ID138","5c7fa97a212cc800147dd154",0.0092453630379253,0.45991245563442,0.00149163872525943,4.05638882834213,5.78818993669442,0.581393937316977,0.0205694770209977,-59.9109079250261,1,7,"Unfair"
"ID139","5c80097d514b730001d662f4",0.0602755226552051,2.49627760013843,0.0188082346875755,4.10165144154432,4.52323838111784,0.81250546631039,0.876754337182831,-79.1909269001622,13,5,"Fair"
"ID140","5c8119441c40f30001b464b1",0.261510368364357,0.301333114353722,0.224949738813482,0.584219569678389,0.474648028877289,0.915461035752671,0.114988961928549,-37.1598377732656,9,3,"Fair"
"ID141","5c823b094c3d3f000182fc57",0.66446355562463,0.735231861355878,0.657454938617506,1.41795295225151,1.75828627609291,0.285487124325729,0.451794397497526,-63.8022795179802,1,1,"Fair"
