"","ID","one","two","three","four","five","six","seven","eight","nine","ten","eleven","twelve","ll"
"ID","54240de1fdf99b691fb383a8",0.493812637578473,0.753736795898416,0.537825659009507,0.824662999357903,0.416976297988947,0.818604882936769,0.154715931004777,0.142798738055791,0.0451048627344998,0.000623245502622905,0.683270142646861,0.692810898199586,20.2947200412906
"ID1","54b60d74fdf99b1ce0367ab5",0.50311351151877,0.794983528033861,0.164190426920397,0.788601161323356,0.24870398611736,0.649780125064638,0.0817374491965057,0.430150486936784,0.16507045896833,0.362022280143506,0.29822432691536,0.437761050947647,47.2842933510155
"ID2","55780ee6fdf99b4cbc0aef95",0.422636845632285,0.967860076069835,0.773105432854243,0.0750523936474491,0.929757711020229,0.0997962201353346,0.06462343494062,0.103955841977805,0.212073881841457,0.39146903439665,0.530308100892662,0.839013448898112,48.3854071541535
"ID3","559cdad9fdf99b66f54b7794",0.91731113218751,0.867543173309751,0.925158830025446,0.118367180835118,0.844509606036008,0.280241436500397,0.150723309451258,0.738488612745373,0.355999629057979,0.512913493006067,0.00254968160341537,0.813541993788385,11.420963106657
"ID4","55a77810fdf99b444b9d255c",0.839957969793199,0.778255541964214,0.716191503881189,0.476445236403311,0.422101433922203,0.938228128806116,0.0676544948116037,0.372521433134125,0.92194958515091,0.0689841519678558,0.784567863603073,0.0624877330145395,51.3436989190971
"ID5","55b95e2ffdf99b469f622883",0.76115909940577,0.985093550286247,0.512679689173195,0.645271958239891,0.13790444958617,0.911641831433827,0.0986107561772389,0.508859930817292,0.2384500109162,0.439787263333681,0.24339807215775,0.0659069726613243,37.4306277265447
"ID6","55d6d91d69dbc30005b66ffe",0.0937542482396741,0.946289417130375,0.179477951176352,0.958094671384006,0.289620341106713,0.810513957286449,0.0811747492181669,0.93570626193965,0.711699822169319,0.741206503456329,0.117418496756855,0.0309704560430029,46.1682901120856
"ID7","56051814e372c00011bd556a",0.719219303303516,0.907140674818395,0.892178846672778,0.154749614642021,0.891565720521088,0.186054910297284,0.0993884920989105,0.755124620083721,0.636498231474817,0.730947156228867,0.00319790291067594,0.398484602406562,40.1893458845044
"ID8","560aef7d01c38a00127693d3",0.539767501557799,0.676836764409838,0.131333794753124,0.582930021172113,0.986553261368393,0.340507385293985,0.0236211671853855,0.348874546774761,0.32391015773291,0.18082403149094,0.481650735106232,0.472628154301657,90.0793585470611
"ID9","5687d434369319000c269c03",0.350446849254802,0.914176433535351,0.111559398203631,0.760740345810507,0.613481736781964,0.761859391554328,0.102201425538947,0.547042663984433,0.685376299766567,0.846688717551807,0.534035927870973,0.615850231753157,33.7012813459637
"ID10","56c81007ba8e37000d7b211e",0.21037816523406,0.909302529984048,0.161603250202037,0.0649309400588948,0.236300099786049,0.863819176230513,0.0373321101310367,0.204216603232958,0.213771247426075,0.511549920455443,0.966242530426169,0.105895954063704,73.8867206634344
"ID11","56f699e876348f000c883bba",0.484843640221,0.962480535038376,0.12784036360497,0.946765095208647,0.27761576794158,0.925466861252983,0.0804118013862821,0.678471747215714,0.179287798650763,0.319762561090323,0.32548568657458,0.0219030530945581,50.8995201719305
"ID12","571de7af13b1b70009be2f26",0.769612370913735,0.890011373087157,0.907546591666333,0.297011965417353,0.0702951394791012,0.962911491369379,0.11833489632893,0.374050600368024,0.0719134869590807,0.509266057308816,0.130400131815004,0.0156491846567435,31.8275302353591
